Name  Ra  Dec  J  eJ  H   eH   K  eK
GJ1210     256.92020   7.36854 9.284 0.026 8.654 0.029 8.419 0.025
GJ4287     339.37460  39.38106 6.639 0.020 6.046 0.033 5.872 0.027
HIP9724    31.27000 -17.61461 6.542 0.021 5.898 0.024 5.662 0.020
HIP11542    37.19370  32.25949 6.888 0.032 6.238 0.017 6.062 0.018
HD15285     36.94125   4.43194 5.990 0.020 5.332 0.029 5.113 0.018
Gl487      192.26163  66.11020 6.880 0.024 6.299 0.046 6.070 0.024
GJ234       97.34748  -2.81389 6.376 0.023 5.754 0.034 5.486 0.016
Gl804      311.09144  19.74969 7.359 0.020 6.755 0.021 6.553 0.016
GJ4210     324.97653  27.61209 8.211 0.021 7.615 0.024 7.376 0.024
GJ1005       3.86702 -16.13372 7.215 0.019 6.712 0.034 6.390 0.016
Gl831      322.82755  -9.79068 7.316 0.023 6.701 0.034 6.379 0.020
GJ623      246.03862  48.35297 6.638 0.024 6.141 0.021 5.915 0.023
GJ22A        8.12264  67.23567 6.844 0.023 6.268 0.021 6.037 0.023
Gl747      286.92846  32.54435 7.242 0.023 6.665 0.018 6.416 0.020
HD239960   336.99792  57.69584 5.575 0.027 5.038 0.034 4.777 0.029
GJ65        24.75501 -17.95074 6.283 0.019 5.690 0.029 5.343 0.021
GJ3522     134.73479   8.47383 6.507 0.018 5.966 0.033 5.688 0.016
GJ748      288.06058   2.88648 7.087 0.020 6.572 0.018 6.294 0.024
GJ4326     349.36697  19.61303 8.020 0.024 7.411 0.020 7.173 0.017
GJ3010       2.22467  20.84040 8.870 0.027 8.264 0.031 8.010 0.024
Gl125       47.37830  45.73274 6.730 0.018 6.081 0.023 5.840 0.016
GJ1245     298.47705  44.41484 7.791 0.023 7.194 0.016 6.854 0.016
Gl469      187.24004   8.42555 7.844 0.035 7.203 0.053 6.956 0.026
GJ600      238.03416  10.87444 6.692 0.023 6.012 0.036 5.819 0.023
GJ3412     103.51751  60.87190 7.128 0.020 6.604 0.017 6.345 0.016
GJ3421     105.98222  52.70184 8.537 0.026 8.094 0.036 7.776 0.021
HD152751   253.86982  -8.33633 5.270 0.037 4.775 0.017 4.403 0.036
GJ570      224.36044 -21.41129 4.550 0.262 3.910 0.200 3.802 0.230
GJ661      258.03281  45.66619 5.552 0.030 5.066 0.016 4.834 0.023
GJ4231     328.04340   5.62664 8.248 0.026 7.646 0.044 7.385 0.026
Gl494      195.19418  12.37573 6.437 0.021 5.786 0.017 5.578 0.016
GJ3454     114.10473   7.07865 8.180 0.021 7.611 0.033 7.282 0.020
GJ866      339.64053 -15.29926 6.553 0.019 5.954 0.031 5.537 0.020
Gl54        17.59526 -67.44503 5.997 0.019 5.409 0.026 5.132 0.024
GJ815      315.02228  40.07027 6.668 0.020 6.089 0.016 5.880 0.018
PMJ07295+3556 112.37950  35.93340 8.644 0.027 7.998 0.029 7.796 0.024
GJ1081      83.32973  44.81631 8.197 0.044 7.585 0.044 7.335 0.027
Gl330      134.26953  11.64703 7.311 0.019 6.781 0.027 6.486 0.023
Gl913      359.68115  46.72915 6.659 0.029 6.021 0.023 5.831 0.020
GJ1038      21.25751 -32.85114 7.066 0.027 6.417 0.021 6.207 0.021
Gl844      330.45432  16.46743 7.009 0.026 6.416 0.026 6.180 0.021
Gl695C     266.60450  27.71707 5.772 0.023 5.174 0.020 4.953 0.016
Gl310      129.10645  67.29510 6.425 0.029 5.782 0.015 5.580 0.015
Gl190       77.14602 -18.17205 6.175 0.018 5.591 0.031 5.314 0.018
Gl185       75.61842 -21.25664 5.450 0.021 4.853 0.017 4.600 0.018
G132-25     11.48596  33.78639 10.183 0.021 9.629 0.021 9.314 0.019
GJ2060     112.21407 -30.24680 6.615 0.024 5.970 0.036 5.716 0.020
GJ2005       6.18414 -27.14007 9.254 0.034 8.547 0.036 8.241 0.030
Gl473      188.32243   9.02105 6.995 0.024 6.397 0.034 6.042 0.020
Gl381      153.01947  -2.68465 7.021 0.023 6.471 0.049 6.193 0.026
Gl301B     123.28532 -13.91702 6.638 0.018 6.039 0.044 5.815 0.026
